"","W","PTS","O_PTS","FG%","3P%","TRB","AST","STL","TOV","O_FG%","O_3P%","O_TRB","O_AST","O_STL","O_TOV"
"967",0,114,124,0.406,0.35,44,21,5,12,0.518,0.263,46,20,9,10
"968",0,112,137,0.418,0.393,40,22,9,16,0.634,0.412,44,29,9,16
"969",1,115,97,0.505,0.421,43,25,4,8,0.43,0.263,41,20,7,11
"970",0,108,110,0.43,0.348,43,14,7,18,0.474,0.286,37,19,8,16
"971",1,137,101,0.557,0.417,59,32,7,15,0.376,0.346,36,16,9,12
"972",1,120,103,0.597,0.368,42,30,8,18,0.393,0.294,34,19,14,16
"973",1,118,111,0.494,0.238,45,28,10,17,0.425,0.257,47,14,10,19
"974",1,109,106,0.447,0.2,50,16,7,11,0.376,0.351,54,19,6,12
"975",0,127,131,0.5,0.481,49,23,5,19,0.456,0.389,44,19,15,11
"976",0,110,122,0.462,0.316,54,20,7,19,0.48,0.444,42,21,11,9
"977",0,101,110,0.441,0.357,41,20,5,9,0.5,0.318,49,14,7,14
"978",0,101,107,0.402,0.24,47,24,9,13,0.481,0.429,48,22,8,18
"979",0,103,109,0.437,0.143,49,18,9,16,0.438,0.304,43,21,10,12
"980",0,118,124,0.533,0.304,43,24,6,14,0.55,0.545,39,20,4,14
"981",0,116,123,0.42,0.235,61,24,8,23,0.47,0.368,46,23,8,15
"982",0,111,120,0.417,0.259,55,26,13,16,0.506,0.433,39,25,13,15
"983",1,120,99,0.518,0.444,45,16,6,7,0.37,0.233,48,13,1,9
"984",1,124,111,0.55,0.421,43,26,6,12,0.423,0.356,44,23,5,10
"985",1,113,104,0.52,0.684,34,22,5,12,0.488,0.333,31,19,9,11
"986",0,106,114,0.459,0.222,48,18,4,14,0.407,0.276,48,12,10,7
"987",0,104,127,0.43,0.359,32,23,12,18,0.562,0.385,45,36,14,16
"988",1,124,121,0.556,0.452,35,22,5,20,0.5,0.333,41,18,10,16
"989",1,122,120,0.523,0.394,36,29,8,11,0.489,0.286,48,18,7,15
"990",1,112,105,0.394,0.276,44,21,8,7,0.396,0.379,59,11,4,18
"991",0,88,113,0.358,0.265,49,17,8,11,0.418,0.35,67,16,7,10
"992",1,119,104,0.47,0.375,52,30,7,11,0.474,0.565,34,20,3,14
"993",0,114,130,0.482,0.364,35,24,7,14,0.561,0.472,36,26,7,11
"994",1,131,109,0.543,0.375,40,29,13,6,0.5,0.429,32,19,3,15
"995",1,99,92,0.404,0.375,47,19,6,8,0.442,0.273,46,23,6,13
"996",1,114,95,0.538,0.348,37,23,11,14,0.379,0.296,43,18,10,21
"997",0,95,96,0.444,0.37,43,15,6,17,0.422,0.226,38,14,12,10
"998",0,90,110,0.443,0.4,33,21,8,15,0.5,0.6,45,19,9,12
"999",0,91,95,0.422,0.348,54,22,8,18,0.337,0.353,52,17,11,12
"1000",1,102,89,0.473,0.48,45,19,6,15,0.392,0.321,39,20,8,11
"1001",1,118,109,0.531,0.364,47,29,6,13,0.419,0.323,40,15,7,11
"1002",0,124,125,0.52,0.429,42,36,5,16,0.514,0.32,41,19,14,9
